variant,concurrency,threads,lat_avg_ms,lat_stdev_ms,lat_max_ms,lat_pm_stdev_pct,reqps_thread_avg,reqps_thread_stdev,reqps_thread_max,reqps_thread_pm_stdev_pct,requests_per_sec
baseline,1,1,0.576030,0.044150,0.700000,66.05,1370.000000,18.51,1420.000000,74.51,1367.16
baseline,2,2,0.526950,0.053290,0.745000,70.43,1480.000000,46.74,1600.000000,72.55,2938.95
baseline,3,3,0.502910,0.074410,0.828000,70.13,1550.000000,105.34,1870.000000,69.93,4614.52
baseline,4,4,0.502570,0.078850,2.250,70.59,1550.000000,82.08,1790.000000,69.95,6146.76
baseline,5,5,0.534400,0.083980,1.430,69.54,1480.000000,75.80,1830.000000,72.16,7355.51
baseline,6,6,0.599260,0.087890,1.060,71.28,1350.000000,68.52,1660.000000,86.93,8038.64
baseline,7,7,0.651480,0.107170,1.180,69.97,1250.000000,35.80,1380.000000,70.31,8738.58
baseline,8,8,0.676920,0.116510,1.360,71.98,1220.000000,44.74,1360.000000,62.81,9640.36
baseline,9,9,0.702320,0.126570,3.470,76.69,1190.000000,33.52,1290.000000,69.06,10626.80
baseline,10,10,0.745860,0.143190,1.590,73.68,1140.000000,40.38,1300.000000,67.52,11346.89
baseline,11,11,0.776120,0.157290,1.600,72.49,1100.000000,46.96,1380.000000,77.20,11926.65
baseline,12,12,0.825970,0.172500,1.670,72.70,1040.000000,33.76,1170.000000,66.39,12323.72
baseline,13,13,0.890,0.190540,1.780,72.03,990.000000,39.17,1200.000000,73.18,12731.70
baseline,14,14,0.950,0.197390,2.000,72.16,940.000000,46.76,1350.000000,88.12,12982.69
baseline,15,15,0.990,0.202640,2.100,72.30,900.000000,46.96,1340.000000,91.02,13310.54
baseline,16,16,1.040,0.220970,2.040,71.40,860.000000,44.59,1270.000000,92.34,13527.47
baseline,17,16,1.050,0.214320,2.030,72.07,860.000000,48.96,1480.000000,98.01,13430.74
baseline,18,16,1.040,0.216000,2.180,71.39,860.000000,46.54,1290.000000,94.30,13479.43
