variant,concurrency,threads,lat_avg_ms,lat_stdev_ms,lat_max_ms,lat_pm_stdev_pct,reqps_thread_avg,reqps_thread_stdev,reqps_thread_max,reqps_thread_pm_stdev_pct,requests_per_sec
baseline,1,1,0.565620,0.050650,1.890,70.58,1390.000000,32.59,1520.000000,82.35,1386.76
baseline,2,2,0.538760,0.054760,0.754000,71.48,1460.000000,49.95,1620.000000,84.31,2903.79
baseline,3,3,0.509090,0.075560,0.774000,70.94,1530.000000,101.32,1920.000000,80.39,4583.01
baseline,4,4,0.522570,0.073230,0.819000,70.47,1500.000000,57.46,1700.000000,67.65,5955.52
baseline,5,4,0.525200,0.071170,0.829000,70.92,1490.000000,49.36,1650.000000,59.11,5913.47
baseline,6,4,0.522970,0.073440,0.970,69.95,1500.000000,45.66,1630.000000,63.24,5977.26
baseline,7,4,0.525680,0.075210,0.920,68.53,1500.000000,41.64,1620.000000,69.12,5958.55
baseline,8,4,0.687530,0.127710,1.310,70.81,2440.000000,115.86,2820.000000,70.59,9695.15
baseline,9,4,0.698290,0.125470,1.290,70.77,2400.000000,89.18,2820.000000,72.64,9428.54
baseline,10,4,0.701280,0.123530,1.340,71.17,2390.000000,74.79,2660.000000,68.14,9530.17
baseline,11,4,0.693300,0.132100,3.380,72.20,2420.000000,92.05,2820.000000,72.91,9578.85
baseline,12,4,0.850,0.173950,3.130,72.42,3010.000000,140.97,3880.000000,76.24,11863.36
baseline,13,4,0.860,0.173400,1.670,72.45,3000.000000,119.45,3520.000000,72.91,11893.08
baseline,14,4,0.849420,0.185790,4.360,73.99,3020.000000,243.18,4220.000000,90.69,12028.22
baseline,15,4,0.870,0.167780,1.830,73.39,2960.000000,117.53,3310.000000,70.59,11783.76
baseline,16,4,1.070,0.215460,2.050,72.89,3270.000000,181.22,5250.000000,90.05,12847.68
baseline,17,4,1.060,0.217550,2.150,72.70,3270.000000,186.05,5280.000000,86.07,12832.91
baseline,18,4,1.060,0.216870,1.970,72.71,3280.000000,187.26,5290.000000,87.06,12866.03
baseline,19,4,1.060,0.214750,1.950,72.79,3290.000000,185.82,5250.000000,86.07,12897.49
baseline,20,4,1.260,0.262150,2.490,71.12,3500.000000,146.72,4070.000000,69.50,13941.23
baseline,21,4,1.250,0.267740,2.600,71.18,3500.000000,232.17,6090.000000,89.05,13739.37
baseline,22,4,1.260,0.262670,2.400,71.25,3510.000000,116.50,3830.000000,69.50,13974.26
baseline,23,4,1.260,0.261500,2.470,71.41,3490.000000,142.23,3890.000000,69.00,13875.47
baseline,24,4,1.470,0.303050,3.040,70.24,3670.000000,117.56,3960.000000,71.50,14593.60
baseline,25,4,1.460,0.324830,2.860,70.11,3600.000000,246.11,5420.000000,72.64,14130.73
baseline,26,4,1.460,0.313370,3.080,70.17,3610.000000,165.57,3970.000000,66.50,14374.53
baseline,27,4,1.460,0.311030,5.250,70.39,3640.000000,142.59,4040.000000,64.50,14490.92
baseline,28,4,1.620,0.365980,3.400,69.08,3850.000000,290.07,6650.000000,82.59,15088.18
baseline,29,4,1.580,0.377300,3.180,68.81,3920.000000,342.52,6550.000000,80.10,15358.33
baseline,30,4,1.630,0.369380,3.570,69.36,3820.000000,216.96,4660.000000,70.50,15205.47
baseline,31,4,1.590,0.359090,3.410,68.88,3940.000000,218.15,4460.000000,67.50,15672.67
baseline,32,4,1.750,0.449390,3.790,67.78,4090.000000,310.10,4590.000000,65.00,16271.15
baseline,33,4,1.490,0.510140,3.950,65.18,4750.000000,960.000000,7510.000000,75.00,18905.93
baseline,34,4,1.750,0.462670,3.850,68.18,4030.000000,401.82,7170.000000,77.61,15800.68
baseline,35,4,1.720,0.446530,3.700,68.31,4100.000000,266.11,4750.000000,70.00,16327.28
baseline,36,4,1.600,0.610200,4.180,62.93,4790.000000,950.000000,7530.000000,68.00,19034.77
baseline,37,4,1.510,0.582860,4.840,62.40,5160.000000,1030.000000,8850.000000,70.30,20318.07
baseline,38,4,1.680,0.633300,5.490,63.17,4590.000000,1030.000000,7350.000000,69.50,18248.50
baseline,39,4,1.640,0.579710,3.930,64.02,4720.000000,774.91,7190.000000,73.89,18712.08
baseline,40,4,1.960,0.690030,5.650,64.54,4380.000000,860.000000,6960.000000,75.50,17403.38
baseline,41,4,1.730,0.686380,4.580,61.99,4950.000000,1180.000000,8200.000000,66.17,19393.64
baseline,42,4,1.350,0.601030,4.560,67.57,6250.000000,1340.000000,8620.000000,55.17,24744.26
baseline,43,4,1.470,0.582620,4.650,65.59,5810.000000,920.000000,7720.000000,64.36,22900.76
baseline,44,4,1.750,0.728800,5.440,63.11,5240.000000,1120.000000,7410.000000,59.70,20533.62
baseline,45,4,1.900,0.755700,6.460,62.51,4930.000000,1100.000000,8780.000000,62.69,19335.27
baseline,46,4,1.370,0.608110,4.800,69.53,6780.000000,1380.000000,9210.000000,63.86,26727.96
